target,platform,amount
0x058059cb764a98c18B937222eD06C1ad2f174Dce,balancer,0
0x4a0c9905b098842827fB09BaA4522721d4e14deE,aura,0
0x4a0c9905b098842827fB09BaA4522721d4e14deE,balancer,0
0x061130d4715FCD4828BfCAf6B1a9B93DF5e6e4c9,aura,0
0x061130d4715FCD4828BfCAf6B1a9B93DF5e6e4c9,balancer,0
0xb6d101874B975083C76598542946Fe047f059066,aura,1177.6606
0xb6d101874B975083C76598542946Fe047f059066,balancer,164.9770
0xcb785286C9bEBeFF7654a8238Eb563666fD75338,aura,0
0xcb785286C9bEBeFF7654a8238Eb563666fD75338,balancer,0
0x2e8A05f0216c6cC43BC123EE7dEf58901d3844D2,aura,0
0x2e8A05f0216c6cC43BC123EE7dEf58901d3844D2,balancer,0
0x0d1b58fB1fC10F2160178DE1eAE2d520335ee372,aura,1876.8369
0x0d1b58fB1fC10F2160178DE1eAE2d520335ee372,balancer,492.2127
0xCD41Bc6DC6e9821C4C36848Ff3397493e458A5d1,aura,3634.2035
0xCD41Bc6DC6e9821C4C36848Ff3397493e458A5d1,balancer,1314.7126
0xEaF1eef5814D9be44D0dBFb54c7773844339B7F8,aura,0
0xEaF1eef5814D9be44D0dBFb54c7773844339B7F8,balancer,791.9412
0x75BA7F8733c154302cbE2e19fe3ec417E0679833,aura,0
0x75BA7F8733c154302cbE2e19fe3ec417E0679833,balancer,0
0xE6a0FD593e6beca161D0D933b4Fb4fecaF49d46a,aura,0
0xE6a0FD593e6beca161D0D933b4Fb4fecaF49d46a,balancer,731.8499
0xf8A95653CC7ee59AfA2304DcC518c431a15C292C,aura,1571.0672
0xf8A95653CC7ee59AfA2304DcC518c431a15C292C,balancer,349.1030
0x5a47e3f2E5009168Af11C4b0198605f694805779,aura,0
0x5a47e3f2E5009168Af11C4b0198605f694805779,balancer,0
0x38F1e186cC7609D236AA2161e2ca622B5BC4Ef8b,aura,0
0x38F1e186cC7609D236AA2161e2ca622B5BC4Ef8b,balancer,0
0xF22c4C0093a13c193A3162d5B50bC92a8ECB58ef,aura,0
0xF22c4C0093a13c193A3162d5B50bC92a8ECB58ef,balancer,0
0xB599e35f760c47888aD3fF684FF4cd01ff4Dc45B,aura,0
0xB599e35f760c47888aD3fF684FF4cd01ff4Dc45B,balancer,0
0xBb1a15dfd849bc5a6F33C002999c8953aFA626Ad,aura,0
0xBb1a15dfd849bc5a6F33C002999c8953aFA626Ad,balancer,0
0x8135d6AbFd42707A87A7b94c5CFA3529f9b432AD,aura,2932.5808
0x8135d6AbFd42707A87A7b94c5CFA3529f9b432AD,balancer,986.3318
0x8E4debFB047eFCF6501665160739818E90eD621F,aura,0
0x8E4debFB047eFCF6501665160739818E90eD621F,balancer,0
0x9965713498c74aee49cEf80B2195461F188F24f8,aura,6660.2086
0x9965713498c74aee49cEf80B2195461F188F24f8,balancer,3117.1760
0xD103Dd49B8051A09B399A52E9A8aB629392dE2fb,aura,0
0xD103Dd49B8051A09B399A52E9A8aB629392dE2fb,balancer,0
0xE01347229d681C69f459176A042268Cf981DFaa4,aura,13313.7412
0xE01347229d681C69f459176A042268Cf981DFaa4,balancer,6231.2277
0xBDc908e5dF4A95909DD8cbdD5E88C4078a85f7fC,aura,0
0xBDc908e5dF4A95909DD8cbdD5E88C4078a85f7fC,balancer,0
0x2280B8C8B401CA54eBF15736B77E1d3bF4924A9D,aura,0
0x2280B8C8B401CA54eBF15736B77E1d3bF4924A9D,balancer,0
0xd75026F8723b94d9a360A282080492d905c6A558,aura,2259.7928
0xd75026F8723b94d9a360A282080492d905c6A558,balancer,1057.6503
0xe9B2CB6836Be07357bCb8144F398730d5EC268E9,aura,0
0xe9B2CB6836Be07357bCb8144F398730d5EC268E9,balancer,0
0xa86e8e8CfAe8C9847fA9381d4631c13c7b3466bd,aura,0
0xa86e8e8CfAe8C9847fA9381d4631c13c7b3466bd,balancer,0
0x1e916950A659Da9813EE34479BFf04C732E03deb,aura,1477.5824
0x1e916950A659Da9813EE34479BFf04C732E03deb,balancer,691.5525
0xf8C85bd74FeE26831336B51A90587145391a27Ba,aura,18861.3866
0xf8C85bd74FeE26831336B51A90587145391a27Ba,balancer,8827.6908
0x10A19e7eE7d7F8a52822f6817de8ea18204F2e4f,payment,93804.3228
