symbol,chain,total_incentives_diff,bal_incentives_diff,earned_fees_diff,aura_incentives_diff,redirected_incentives_diff,fees_to_vebal_diff
ETHx/wstETH,arbitrum,0.0 (0.0%),0.0 (0.0%),0.004500000000007276 (0.0%),0.0 (0.0%),-2.032800000000009 (0.79%),1.3212999999999795 (0.79%)
4POOL,arbitrum,0.0 (0.0%),0.0 (0.0%),-0.00050000000004502 (-0.0%),0.0 (0.0%),-1.6810000000000116 (0.79%),1.0927000000000078 (0.79%)
ECLP-GHO-USDe-rh,arbitrum,0.0 (0.0%),0.0 (0.0%),-0.09890000000001464 (-0.06%),0.0 (0.0%),-0.7780000000000058 (0.73%),0.5056999999999903 (0.73%)
ECLP-WOETH-WETH,arbitrum,0.0 (0.0%),0.0 (0.0%),-0.0027000000000043656 (-0.0%),0.0 (0.0%),-0.7530000000000001 (0.79%),0.4894000000000034 (0.79%)
ECLP-AUSDC-AUSDT,arbitrum,0.0 (0.0%),0.0 (0.0%),-0.0572000000000088 (-0.05%),0.0 (0.0%),-0.515500000000003 (0.74%),0.33509999999999707 (0.74%)
ECLP-sUSDe-GYD,arbitrum,0.0 (0.0%),0.0 (0.0%),-1.1208000000000027 (-1.36%),0.0 (0.0%),0.31750000000000256 (-0.57%),-0.20629999999999882 (-0.57%)
ECLP-GYD-AUSDC,arbitrum,0.0 (0.0%),0.0 (0.0%),-0.007100000000008322 (-0.01%),0.0 (0.0%),-0.41850000000000165 (0.78%),0.27199999999999847 (0.78%)
ECLP-GHO-AUSDC,arbitrum,0.0 (0.0%),0.0 (0.0%),-0.0015000000000000568 (-0.0%),0.0 (0.0%),-0.24650000000000105 (0.79%),0.16019999999999968 (0.79%)
ECLP-GYD-AUSDT,arbitrum,0.0 (0.0%),0.0 (0.0%),-0.0009000000000014552 (-0.0%),0.0 (0.0%),-0.21640000000000015 (0.79%),0.14059999999999917 (0.79%)
sUSX/USDC,arbitrum,0.0 (0.0%),0.0 (0.0%),0.0 (0.0%),0.0 (0.0%),0.0 (0.0%),0.0 (0.0%)
ECLP-rETH-wstETH,arbitrum,0.0 (0.0%),0.0 (0.0%),0.0 (0.0%),0.0 (0.0%),0.0 (0.0%),0.0 (0.0%)
ANKR:ankrETH,arbitrum,0.0 (0.0%),0.0 (0.0%),0.0 (0.0%),0.0 (0.0%),0.0 (0.0%),0.0 (0.0%)
